sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:13650	Acacia	RO:0002453	host of	EOL:2683280	Cogia caicus	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthacae	RO:0002453	host of	EOL:156910	Chlosyne janais	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthaceae	RO:0002453	host of	EOL:152546	Phyciodes tulcis	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthaceae	RO:0002453	host of	EOL:152983	Anartia jatrophae	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthaceae	RO:0002453	host of	EOL:157882	Phyciodes frisia	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthaceae	RO:0002453	host of	EOL:158309	Dymasia dymas	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthaceae	RO:0002453	host of	EOL:160325	Anartia fatima	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthaceae	RO:0002453	host of	EOL:163027	Junonia coenia	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthaceae	RO:0002453	host of	EOL:4068082	Siproeta stelenes	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4420	Acanthaceae	RO:0002453	host of	EOL:4073569	Phyciodes texana	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
EOL:4415	Aceraceae	RO:0002453	host of	EOL:163165	Nymphalis antiopa	GEONAMES:6255149	North America					Scott, J.A. 1986.  The Butterflies of North America.  Stanford University Press, Stanford, CA
